"MULTILINESTRING ((-73.91650122732028 40.55961813191002, -73.91671148117165 40.55905912961531))",7
"MULTILINESTRING ((-74.0083250091328 40.703812929088826, -74.00776551818 40.703316452857436))",42
"MULTILINESTRING ((-73.95698439349368 40.703074687964126, -73.95507405526713 40.70431142353233))",71
"MULTILINESTRING ((-73.97834701340841 40.68787174304655, -73.97781222623732 40.68765975791584, -73.97749777956807 40.68753511184205))",40
"MULTILINESTRING ((-73.93885509453067 40.84467905512023, -73.93868004687609 40.845439131323175))",34
"MULTILINESTRING ((-73.86519476032804 40.84541565127583, -73.86432328919692 40.845595853410735))",13
"MULTILINESTRING ((-74.09127529173306 40.5951125082992, -74.09205516235927 40.59424499823079, -74.09221866933584 40.59406311406532))",29
"MULTILINESTRING ((-73.95268752458823 40.77234302098273, -73.95043175557566 40.7713897310352))",73
"MULTILINESTRING ((-73.95763644642231 40.64268949946345, -73.95642457843354 40.64277095764814))",39
"MULTILINESTRING ((-73.98749940592039 40.64404550934965, -73.98673080569083 40.6435739932046))",9
"MULTILINESTRING ((-74.00453350110088 40.71627991256102, -74.00302949461836 40.71558506543699))",19
"MULTILINESTRING ((-73.94891101733357 40.82409816086668, -73.94983045715954 40.82447644789516, -73.94989207813455 40.824502380965086, -73.95130812625182 40.82509371255605))",77
"MULTILINESTRING ((-73.97824897280125 40.64284592942475, -73.97779860436425 40.64045501201776))",16
"MULTILINESTRING ((-73.9182611709946 40.66856980527559, -73.91761384894295 40.66604634969812))",63
"MULTILINESTRING ((-73.97953664759763 40.69617228598375, -73.97887322102333 40.69615934909967))",46
"MULTILINESTRING ((-73.92112020108577 40.71073540731256, -73.92074853115804 40.71053364895872))",1
"MULTILINESTRING ((-74.21817195689592 40.542250285260785, -74.21842637382636 40.542917408665694))",1
"MULTILINESTRING ((-74.13096214112207 40.623476195529875, -74.13205806924915 40.62338649246287))",1
"MULTILINESTRING ((-74.11579141471535 40.60686116485369, -74.11814040923402 40.606615894245806))",1
"MULTILINESTRING ((-73.89621352183914 40.81631897079714, -73.89531544794869 40.81719726904302))",14
"MULTILINESTRING ((-73.99961286326993 40.753909994413775, -74.00111374178292 40.754542650954214))",38
"MULTILINESTRING ((-73.8945894343 40.814364119875115, -73.89363198476134 40.81383239686333))",7
"MULTILINESTRING ((-74.11439754941647 40.631977737553704, -74.11666642606224 40.631710101962305))",5
"MULTILINESTRING ((-73.98702180556815 40.69768182184661, -73.98704043609438 40.69728000654001))",24
"MULTILINESTRING ((-73.92740330457914 40.68963068292834, -73.92473183549217 40.689936356696776, -73.92412670392892 40.69000558760756))",30
"MULTILINESTRING ((-73.96347400954684 40.68186888606978, -73.96142366447533 40.68143470030494))",18
"MULTILINESTRING ((-73.80465001646184 40.81085467626712, -73.80480351554645 40.81100658906359))",13
"MULTILINESTRING ((-73.94128469455269 40.70604024630098, -73.94085714075568 40.706082988413186, -73.94051956532631 40.70611714832205, -73.94042378427085 40.706126840492324, -73.9400365376995 40.706166025549464))",5
"MULTILINESTRING ((-73.99174340405398 40.573430011072624, -73.9916633004253 40.57303075487488, -73.99164614602572 40.572945252403734, -73.99162581391744 40.57284391329562, -73.99160807601382 40.572755502461575, -73.99138759305158 40.57165652782267))",1
"MULTILINESTRING ((-74.00089769851552 40.72577310709421, -74.00159653597353 40.72611887674332))",33
"MULTILINESTRING ((-73.95757201182647 40.725097592814606, -73.95749345200497 40.725523423917274))",3
"MULTILINESTRING ((-73.95779741126489 40.608957440702525, -73.95740601272051 40.60913090797407))",13
"MULTILINESTRING ((-73.98211779037612 40.778013181164795, -73.98205596838086 40.77879316849368))",4
"MULTILINESTRING ((-74.0110815156239 40.627134017355544, -74.0088792820741 40.62580248363838))",9
"MULTILINESTRING ((-74.00586609867423 40.73314653180067, -74.00640707693222 40.73305394005605))",8
"MULTILINESTRING ((-73.9916643249372 40.6320164878357, -73.98946251913321 40.63068615903993))",13
"MULTILINESTRING ((-74.00392127465643 40.70723974417977, -74.00405660228448 40.70743678065674))",3
"MULTILINESTRING ((-73.89588135872874 40.82099257470512, -73.89490478842427 40.82098751958954))",7
"MULTILINESTRING ((-73.9240493299036 40.698214082447095, -73.92274382311288 40.69834963172472))",4
"MULTILINESTRING ((-74.00881970243168 40.718641098473654, -74.00933022066378 40.71869148665725))",52
"MULTILINESTRING ((-73.94123879299077 40.80181702119225, -73.93974668160551 40.8011854331433))",1
"MULTILINESTRING ((-73.99581237168601 40.72918053250503, -73.99657214484283 40.7295522336267))",3
"MULTILINESTRING ((-73.89180093471968 40.85461101177849, -73.89127866739697 40.85517128419016))",1
"MULTILINESTRING ((-74.17336368484872 40.55568332287196, -74.17320771375852 40.5549799044531))",1
"MULTILINESTRING ((-73.85249772814161 40.89610860971923, -73.85238337646663 40.89633309853481))",3
