"MULTILINESTRING ((-73.94365882284592 40.61736600299904, -73.94332231392251 40.61774821704207, -73.9432266645222 40.61785685369569))",1,5
"MULTILINESTRING ((-73.88467046559735 40.67994028517815, -73.88421208270165 40.67815554356066))",3,5
"MULTILINESTRING ((-73.99984823601524 40.74342501898614, -74.00269109859276 40.74462126610158))",8,5
"MULTILINESTRING ((-73.94397347805014 40.68008812842701, -73.94404799126445 40.679336109212194))",2,5
"MULTILINESTRING ((-73.86818830625026 40.85806383380904, -73.86782066476637 40.85850315021275))",1,5
"MULTILINESTRING ((-73.91920451043367 40.66165519964629, -73.91893607368648 40.66141601067356, -73.91860168163767 40.661118048606966))",1,5
"MULTILINESTRING ((-73.96772682753718 40.60232844923397, -73.9672733388074 40.59993902892317))",1,5
"MULTILINESTRING ((-73.88631492183951 40.80655295299658, -73.88680842102627 40.80843741738271))",2,5
"MULTILINESTRING ((-73.90351390564214 40.86091750964822, -73.90436650195399 40.861218550591744))",4,5
"MULTILINESTRING ((-74.02762394706329 40.63880495150758, -74.0250906838976 40.63779457402449))",1,5
"MULTILINESTRING ((-73.91023311557854 40.80286484022041, -73.90909434160709 40.80219956851814))",1,5
"MULTILINESTRING ((-73.96318588314621 40.63967181829409, -73.96278088908002 40.63751359508362))",1,5
"MULTILINESTRING ((-73.90850021900475 40.85381700371719, -73.90865895982277 40.853807467595814, -73.90881985345175 40.853811322769786, -73.90882010208898 40.85381133167753, -73.90882035158371 40.85381135884599, -73.90898065659029 40.853828919091875, -73.90898071592743 40.85382892801743, -73.90913763420546 40.8538600014978, -73.90928813136907 40.85390389296352, -73.90942957585847 40.85395943843101))",1,5
"MULTILINESTRING ((-74.07525287317395 40.628662050864015, -74.07646708751672 40.628544154856776))",10,5
"MULTILINESTRING ((-73.90906605207526 40.65933872459384, -73.90867470307475 40.65780250179169))",7,5
"MULTILINESTRING ((-73.94460035574774 40.80909688437048, -73.94728699281599 40.81024118174625))",3,5
"MULTILINESTRING ((-73.88166172259461 40.84459404594191, -73.88107095817372 40.84539226561983))",1,5
"MULTILINESTRING ((-73.96308760254303 40.775002842244554, -73.96262273675086 40.77563801523557))",1,5
"MULTILINESTRING ((-73.8501146778697 40.81441857323111, -73.85059938968377 40.81649646545582))",1,5
"MULTILINESTRING ((-73.90701820283938 40.68094827979044, -73.90572004337031 40.68230141772415, -73.90564184450761 40.682382931076205))",2,5
"MULTILINESTRING ((-73.90415481916483 40.84197025185759, -73.90357555533689 40.843004066650956))",1,5
"MULTILINESTRING ((-73.97271968852287 40.643456076339994, -73.97265267259743 40.64310109424015, -73.97226813151877 40.64106224305777))",1,5
"MULTILINESTRING ((-73.97259300500093 40.61794966169324, -73.97233734757239 40.616653732609215))",1,5
"MULTILINESTRING ((-73.84457641043545 40.831302172790906, -73.84475230877601 40.832034864359215))",1,5
"MULTILINESTRING ((-73.92082397449352 40.69791765709975, -73.92013119515607 40.69862194638704))",1,5
"MULTILINESTRING ((-73.90629472485817 40.6793107103398, -73.90456891332471 40.67951553702155))",1,5
"MULTILINESTRING ((-73.97192384228948 40.799704850838204, -73.97145910423087 40.800333654129325))",1,5
"MULTILINESTRING ((-73.99029013669272 40.6053285980643, -73.9880631297262 40.60397945171451))",1,5
"MULTILINESTRING ((-74.00748240672816 40.740941907414694, -74.0079679948818 40.74114671345909))",1,5
"MULTILINESTRING ((-73.95507400933403 40.73515973865736, -73.95519059115014 40.7358677180989))",1,5
"MULTILINESTRING ((-73.86727556790233 40.86789023761683, -73.86724920843932 40.8687779475211, -73.86724734792628 40.868840606886366, -73.86724125606104 40.86904576438444, -73.86723960943944 40.86910120542351, -73.86723454388427 40.86927178197085))",4,5
"MULTILINESTRING ((-74.00522105088983 40.67976211137277, -74.00643694097147 40.68057336846756))",1,5
"MULTILINESTRING ((-73.8816557993681 40.66682294843095, -73.88127561637249 40.66698777992602, -73.88085220170403 40.66717221794711))",2,5
"MULTILINESTRING ((-73.96062055219745 40.775686038328715, -73.96012099237441 40.77636905100072))",1,5
"MULTILINESTRING ((-73.94153959337262 40.71911168964503, -73.94058990734524 40.71920542328749))",1,5
"MULTILINESTRING ((-73.94368427322402 40.69685190931549, -73.9436380693491 40.69661331804049, -73.94362121369046 40.69652627915909, -73.9435563415296 40.69619128295103, -73.94354024149446 40.69610814161252, -73.9435252747152 40.69603085473555))",1,5
"MULTILINESTRING ((-73.85292356299011 40.90460039948942, -73.85215641756652 40.90424547547275))",1,5
"MULTILINESTRING ((-73.9884072838837 40.58640823658712, -73.98829677478412 40.58624875134071, -73.98806303505053 40.58593792967185))",1,5
"MULTILINESTRING ((-73.9170154840304 40.807506725987864, -73.91409947861912 40.8062739596097))",1,5
"MULTILINESTRING ((-73.90620796807414 40.701930578625365, -73.90528356488853 40.7028380426932))",1,5
"MULTILINESTRING ((-73.91181555259065 40.65243632893463, -73.91148152721766 40.65213672189784, -73.91094787777571 40.65165803624134, -73.91056963455209 40.651318751560844, -73.91022992877039 40.65101403099976))",1,5
"MULTILINESTRING ((-73.95130812625182 40.82509371255605, -73.95084005388661 40.82571548146124))",2237,5
"MULTILINESTRING ((-73.92503252707267 40.82735714412041, -73.92413589633908 40.827100006395945))",8,5
"MULTILINESTRING ((-73.91094270221893 40.659060591378186, -73.91054874458841 40.657525102333246))",1,5
"MULTILINESTRING ((-73.9236969533669 40.649769953814655, -73.92342608516071 40.65052954970549))",209,5
"MULTILINESTRING ((-73.96871599958405 40.68193997707829, -73.96750697762872 40.681687020898536))",7,5
"MULTILINESTRING ((-73.91404335179463 40.80335560795673, -73.91367136476904 40.80351910342907))",14,5
"MULTILINESTRING ((-73.91172376897184 40.82021358091832, -73.91168108252988 40.82028924931253, -73.91151180747835 40.820589313821735, -73.91139581609042 40.82079449570269, -73.91135634282949 40.820864321849214))",57,5
"MULTILINESTRING ((-73.92275882203147 40.817388285093166, -73.92232726413403 40.81727743173729, -73.91954495233125 40.81655510825754))",66,5
"MULTILINESTRING ((-73.87169812572695 40.666592232442554, -73.87155717800336 40.66644591224123, -73.87051489219581 40.66503516494248))",17,5
"MULTILINESTRING ((-73.99436092830206 40.69023947958176, -73.99467753898432 40.689582939147265))",16,5
"MULTILINESTRING ((-74.00582871056173 40.73653385108597, -74.0058162176643 40.73655467944009, -74.00580324285639 40.73657533593496, -74.00578979032176 40.73659581537692, -74.00577586424401 40.73661611072947, -74.00576146902718 40.736636215626184, -74.00574660907522 40.73665612403576, -74.0057312885719 40.736675829424264, -74.00571551280224 40.73669532609534, -74.00569928661072 40.73671460718, -74.0056826150623 40.73673366815459, -74.00566550322165 40.736752501312445, -74.00564795681444 40.7367711016273, -74.00562998112581 40.7367894634028, -74.00561158188141 40.73680758077506, -74.00559276458662 40.73682544771262, -74.00557353518744 40.736843059021695, -74.0055538994096 40.736860409508516, -74.00553386385978 40.73687749280651))",1,5
"MULTILINESTRING ((-73.94909482173738 40.61292211742836, -73.94822751348862 40.6135248178409))",188,5
"MULTILINESTRING ((-73.89549739494444 40.63387621352022, -73.89476028051652 40.63340573084017))",2,5
"MULTILINESTRING ((-73.9571211396026 40.66273747174507, -73.95378528842589 40.662946783596084))",22,5
"MULTILINESTRING ((-73.95123865706688 40.5849246327145, -73.9498697464804 40.58485639623884))",5,5
"MULTILINESTRING ((-74.01282671055186 40.70240862667393, -74.01231160768083 40.702686532796356))",3,5
"MULTILINESTRING ((-73.9173407842412 40.64261720213943, -73.91708348768438 40.642371877861976))",28,5
"MULTILINESTRING ((-73.97604447579559 40.789001781108766, -73.97736044418369 40.78955777286105))",15,5
"MULTILINESTRING ((-74.01490443301454 40.709432542754385, -74.01479156571558 40.709720161194234, -74.0147422924871 40.70983551791746))",2,5
"MULTILINESTRING ((-73.85149329898962 40.88577687098665, -73.84882044146883 40.88491966699998))",1,5
"MULTILINESTRING ((-73.94120864299792 40.67993835324957, -73.94032793962099 40.679889974562066))",31,5
"MULTILINESTRING ((-73.88437159166456 40.6382714189029, -73.88377841535308 40.63773420142415))",1,5
"MULTILINESTRING ((-73.86915903249334 40.86660824500627, -73.86832930980042 40.8665903181931))",5,5
"MULTILINESTRING ((-73.83862056419424 40.84245326235226, -73.83840806299256 40.84256649934525))",10,5
"MULTILINESTRING ((-73.8886318729879 40.872765030739394, -73.88760491009887 40.874955400950384))",4,5
"MULTILINESTRING ((-73.98591092388061 40.71933897328667, -73.9853193878966 40.72048963363662))",9,5
"MULTILINESTRING ((-74.01638142202177 40.71007837134671, -74.01762947223385 40.710395761084975))",13,5
"MULTILINESTRING ((-73.99431771508222 40.62064922590554, -73.99373006991839 40.62029188660214))",1,5
"MULTILINESTRING ((-73.90911926743973 40.64077015835972, -73.90745387039858 40.63927545448364))",7,5
"MULTILINESTRING ((-73.89113947740003 40.87025254707297, -73.89054968887227 40.87061165311791))",8,5
"MULTILINESTRING ((-73.90238728790185 40.6285991614125, -73.90195130720507 40.62840217115274))",37,5
"MULTILINESTRING ((-74.10062872107322 40.587255842913585, -74.10079095802455 40.586918691091505, -74.10093884938149 40.58661134808684, -74.10097713312538 40.58653178720701, -74.101020688399 40.58644127078049))",3,5
"MULTILINESTRING ((-74.07819447388242 40.61546100411243, -74.07725958997125 40.61476264032146))",1,5
"MULTILINESTRING ((-74.12202456528024 40.60774336105188, -74.12192645393473 40.60630455585126))",1,5
"MULTILINESTRING ((-73.91412197614727 40.85554012066139, -73.9140083616554 40.85590474393321, -73.91388864887328 40.85628892120442))",1,5
"MULTILINESTRING ((-73.88874437918203 40.83570633113759, -73.88807394446265 40.83687646615604))",4,5
"MULTILINESTRING ((-73.9263873830996 40.81148360307049, -73.92464808113344 40.810728141609054))",12,5
"MULTILINESTRING ((-73.93467106358746 40.84295724295531, -73.9361252908634 40.84355063609927))",6,5
"MULTILINESTRING ((-74.01019980148217 40.70769827923863, -74.00982891196341 40.70811775908473))",8,5
"MULTILINESTRING ((-73.97854094647867 40.73688765936045, -73.97829388566089 40.73678462384607, -73.9778799540613 40.736610028283465, -73.97707170074408 40.73626910150344, -73.97630684443361 40.73594647152205))",2,5
"MULTILINESTRING ((-74.11634268186606 40.57706576311792, -74.1142456090491 40.57594358926261))",1,5
"MULTILINESTRING ((-73.92331682930434 40.6092038396069, -73.921584291112 40.607639085394126))",5,5
"MULTILINESTRING ((-73.91631608359171 40.700121390126554, -73.91556470193053 40.69969329606258))",3,5
"MULTILINESTRING ((-73.9479973483246 40.663306284279756, -73.94553726931098 40.66344857966879))",8,5
"MULTILINESTRING ((-73.96047600468573 40.81808890561125, -73.96081441958093 40.81845889999525))",1,5
